상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220810355131,부평예쁨주의쁨의원,,Q1,보건의료,Q102,의원,Q10208,성형외과 의원,Q86201,일반의원,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010549E+018,1,대지,549,33,인천광역시 부평구 부평동 549-33,282372008008,인천광역시 부평구 부평대로,11,,2.82371010010549E+024,,인천광역시 부평구 부평대로 11,403825,21389,,4,,126.722676283414,37.4923482074032
MA010120220810359386,부평동컴퓨터수리,,S2,수리·개인,S201,컴퓨터 수리,S20101,컴퓨터/노트북/프린터 수리업,S95110,컴퓨터 및 주변 기기 수리업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010329E+018,1,대지,329,3,인천광역시 부평구 부평동 329-3,282372008007,인천광역시 부평구 경원대로,1347,,2.8237101001033E+024,,인천광역시 부평구 경원대로 1347,403819,21389,,,,126.71867701684,37.4913656668965
MA010120220810292172,베스트,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,민자역사,인천광역시 부평구 광장로 16,403825,21404,,2,,126.72335370452,37.4895656909419
MA010120220810286825,대한폴댄스연맹학원,,P1,교육,P106,기타 교육,P10605,레크리에이션 교육기관,P85613,레크리에이션 교육기관,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010185E+018,1,대지,185,8,인천광역시 부평구 부평동 185-8,282372008007,인천광역시 부평구 경원대로,1404,,2.82371010010185E+024,그랑프리빌딩,인천광역시 부평구 경원대로 1404,403819,21404,,,,126.725044773305,37.4909391661219
MA010120220810286210,이경화에스테틱,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010529E+018,1,대지,529,79,인천광역시 부평구 부평동 529-79,282372008008,인천광역시 부평구 부평대로,71,,2.82371010010529E+024,,인천광역시 부평구 부평대로 71,403825,21388,,2,,126.722056742648,37.4978068363366
MA010120220810391001,륀뽀,,G2,소매,G222,중고 상품 소매,G22201,중고 상품 소매업,G47862,중고 가전제품 및 통신장비 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,방풍실,인천광역시 부평구 광장로 16,403825,21404,,1,,126.72335370452,37.4895656909419
MA010120220810436517,쉐비난,,I2,음식,I205,동남아시아,I20501,베트남식 전문,I56129,기타 외국식 음식점업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010534E+018,1,대지,534,4,인천광역시 부평구 부평동 534-4,282374262095,인천광역시 부평구 광장로4번길,16,,2.82371010010534E+024,,인천광역시 부평구 광장로4번길 16,403859,21404,,1,,126.721856369337,37.4908506121944
MA010120220810441634,레인보우,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010543E+018,1,대지,543,45,인천광역시 부평구 부평동 543-45,282373154027,인천광역시 부평구 부평문화로,55,,2.82371010010543E+024,와이디타워,인천광역시 부평구 부평문화로 55,403859,21388,,,,126.722273408665,37.494266400331
MA010120220810366013,옛날통치킨,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010179E+018,1,대지,179,42,인천광역시 부평구 부평동 179-42,282374262094,인천광역시 부평구 광장로30번길,71,,2.82371010010179E+024,지엔에스드림빌,인천광역시 부평구 광장로30번길 71,403819,21404,,1,,126.728393480168,37.4904783896711
MA010120220810375267,커피에반하다,부평역점,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010549E+018,1,대지,549,47,인천광역시 부평구 부평동 549-47,282374262030,인천광역시 부평구 경원대로1377번길,4,,2.82371010010549E+024,일부,인천광역시 부평구 경원대로1377번길 4,403825,21389,,1,,126.722125011153,37.4915900682069
MA010120220810368274,필노래클럽,,I2,음식,I211,주점,I21101,일반 유흥 주점,I56211,일반 유흥 주점업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010546E+018,1,대지,546,80,인천광역시 부평구 부평동 546-80,282374262030,인천광역시 부평구 경원대로1377번길,53,,2.82371010010546E+024,,인천광역시 부평구 경원대로1377번길 53,403859,21389,,,,126.722004188248,37.493680114347
MA010120220810489846,다온컴퍼니,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010798E+018,1,대지,798,19,인천광역시 부평구 부평동 798-19,282374262139,인천광역시 부평구 길주로508번길,33,,2.82371010010798E+024,상록수씨티타운,인천광역시 부평구 길주로508번길 33,403825,21364,,,,126.71871286688,37.5059259687088
MA010120220810550786,이지폰,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010546E+018,1,대지,546,151,인천광역시 부평구 부평동 546-151,282374262030,인천광역시 부평구 경원대로1377번길,29,8,2.82371010010546E+024,,인천광역시 부평구 경원대로1377번길 29-8,403859,21389,,,,126.721860760961,37.4927157020623
MA010120220810549825,레드걸왁싱,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010341E+018,1,대지,341,173,인천광역시 부평구 부평동 341-173,282373154027,인천광역시 부평구 부평문화로,14,,2.82371010010341E+024,,인천광역시 부평구 부평문화로 14,403819,21389,,,,126.719116053375,37.4918892941847
MA010120220810548679,향이랑,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010529E+018,1,대지,529,40,인천광역시 부평구 부평동 529-40,282373000066,인천광역시 부평구 부흥로,264,,2.82371010010529E+024,동아웰빙타운,인천광역시 부평구 부흥로 264,403825,21388,,,,126.721059651077,37.498327068302
MA010120220810541474,장혁민의부대찌개,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010542E+018,1,대지,542,21,인천광역시 부평구 부평동 542-21,282373154027,인천광역시 부평구 부평문화로,51,1,2.82371010010542E+024,,인천광역시 부평구 부평문화로 51-1,403859,21388,,2,,126.721968327434,37.4942026124366
